car,red,down,79.57790586683485
surfboard,blue,down,69.56203990512424
truck,white,down,65.04724785133644
truck,white,down,43.27976756625705
truck,blue,up,n.a.
car,black,down,28.379889594184032
car,green,down,39.80215920342339
car,black,up,n.a.
truck,white,down,65.04724785133644
car,green,up,n.a.
car,black,down,28.379889594184032
car,green,down,39.80215920342339
car,red,down,79.57790586683485
surfboard,blue,down,69.56203990512424
truck,white,down,65.04724785133644
truck,white,down,43.27976756625705
car,red,down,79.57790586683485
car,green,up,n.a.
car,black,down,n.a.
car,black,down,n.a.
car,white,down,n.a.
car,white,down,18.452513217926025
car,yellow,up,n.a.
car,orange,down,19.246506690979004
bus,white,down,n.a.
car,black,up,n.a.
car,red,down,79.57790586683485
surfboard,blue,down,69.56203990512424
truck,white,down,65.04724785133644
